video_id,recipe_id,high_level_activity_label,start_time_seconds,end_time_seconds
P09-20240621-093545,R01,Retrieve ingredients from fridge,10.0,35.0
P09-20240621-093545,,Clean up,35.0,48.0
P09-20240621-093545,R01,Retrieve cooking utensils,48.0,60.0
P09-20240621-093545,R01,Prepare Chicken,60.0,91.0
P09-20240621-093545,R01,Retrieve napkins and scale,91.0,125.0
P09-20240621-093545,,Clean up,125.0,130.0
P09-20240621-093545,R01,Continue preparing chicken,130.0,138.0
P09-20240621-093545,,Clean up,138.0,144.0
P09-20240621-093545,R01,Weigh and prepare chicken,144.0,180.0
P09-20240621-093545,,Clean up,180.0,190.0
P09-20240621-093545,R01,Store excess chicken and prepare the chicken,190.0,292.0
P09-20240621-093545,,Clean up,292.0,300.0
P09-20240621-093545,R01,Retrieve pots from cabinet,300.0,311.0
P09-20240621-093545,,Clean up,311.0,356.0
P09-20240621-093545,R01,Retrieve ingredients and finish preparing chicken,356.0,408.0
P09-20240621-093545,R01,Start preparing the Thai red curry (place cut chicken breasts in pot and add water),408.0,432.0
P09-20240621-093545,,Clean up,432.0,437.0
P09-20240621-093545,R01,Start boiling chicken for Thai red curry,437.0,444.0
P09-20240621-093545,,Tidy up,444.0,450.0
P09-20240621-093545,R01,Retrieve ingredients,450.0,485.0
P09-20240621-093545,,Clean up,485.0,547.0
P09-20240621-093545,R01,Wash courgette,547.0,549.0
P09-20240621-093545,,Clean up,549.0,581.0
P09-20240621-093545,R01,"Cut, slice, weigh and plate courgette",581.0,676.0
P09-20240621-093545,,Clean up,676.0,683.0
P09-20240621-093545,R01,Stir the meat and reduce heat,683.0,689.0
P09-20240621-093545,R01,Drain chicken in colander,689.0,738.0
P09-20240621-093545,R01,"Transfer cooked meat to plate, retrieve and prepare ingredients",738.0,805.0
P09-20240621-093545,R01,"Pour oil into pot, add salt, add chicken and red curry paste and stir",805.0,1060.0
P09-20240621-093545,,Clean up and tidy,1060.0,1081.0
P09-20240621-093545,R01,"Reduce heat, pour coconut milk into pot and stir",1081.0,1150.0
P09-20240621-093545,R01,Fill kettle of water,1150.0,1163.0
P09-20240621-093545,R01,Pour remaining coconut milk into bowl,1163.0,1176.0
P09-20240621-093545,,Clean up and tidy,1176.0,1252.0
P09-20240621-093545,R01,Stir pot of chicken and coconut milk,1252.0,1275.0
P09-20240621-093545,,Clean - wash plate and knife,1275.0,1303.0
