video_id,recipe_id,high_level_activity_label,start_time_seconds,end_time_seconds
P08-20240613-122900,R01,Make and serve coffee,0.0,end
P08-20240613-123547,R02,"Prepare, season and mix salad",0.0,846.0
P08-20240613-123547,R02,Put ingredients away,846.0,873.0
P08-20240613-123547,,Throw away food scraps,873.0,890.0
P08-20240613-123547,R02,Prepare bread for salad and serve,890.0,972.0
P08-20240613-123547,,Clean up,972.0,end
P08-20240614-085000,R03,Gather and prepare ingredients and cooking materials,0.0,272.0
P08-20240614-085000,R03,Preheat pan,272.0,301.0
P08-20240614-085000,R03,Add eggs to pan,301.0,376.0
P08-20240614-085000,,Clean spatula,376.0,386.0
P08-20240614-085000,R03,Stir vegetables in pan,386.0,424.0
P08-20240614-085000,,Clean up,424.0,447.0
P08-20240614-085000,R03,Scramble eggs,447.0,460.0
P08-20240614-085000,,Clean up,460.0,470.0
P08-20240614-085000,R03,Stir vegetables in pan,470.0,484.0
P08-20240614-085000,R03,Put food in fridge,484.0,496.0
P08-20240614-085000,R03,Measure and record food,496.0,578.0
P08-20240614-085000,R03,Stir vegetables in pan,578.0,588.0
P08-20240614-085000,,Clean up,588.0,607.0
P08-20240614-085000,R03,Season cottage cheese,607.0,691.0
P08-20240614-085000,R03,Stir vegetables in pan,691.0,700.0
P08-20240614-085000,R03,Add scrambled eggs to pan and stir,700.0,761.0
P08-20240614-085000,,Clean up,761.0,769.0
P08-20240614-085000,R03,Stir eggs in pan and serve,769.0,832.0
P08-20240614-085000,,Clean up,832.0,853.0
P08-20240614-085000,R03,Season and record food,853.0,898.0
P08-20240614-085000,,Wash dishes,898.0,1058.0
P08-20240614-085000,,Clean counters,1058.0,end
P08-20240614-125650,R04,Preheat oven and gather ingredients,0.0,50.0
P08-20240614-125650,R04,"Measure and season chicken, then put in oven",50.0,197.0
P08-20240614-125650,R04,Prep cooking materials and ingredients,197.0,246.0
P08-20240614-125650,R04,"Measure, record and mix salad greens",246.0,488.0
P08-20240614-125650,,Clean up,488.0,512.0
P08-20240614-125650,R04,Measure and chop and add other vegetables,512.0,656.0
P08-20240614-125650,,Clean up,656.0,667.0
P08-20240614-125650,R04,Measure and prepare other vegetables,667.0,754.0
P08-20240614-125650,R04,Flip chicken in oven,754.0,784.0
P08-20240614-125650,,Clean up,784.0,793.0
P08-20240614-125650,R04,"Grab avocado, measure and chop and add to salad",793.0,899.0
P08-20240614-125650,,Put avocado away,899.0,903.0
P08-20240614-125650,,Clean up,903.0,924.0
P08-20240614-125650,R04,Season salad,924.0,951.0
P08-20240614-125650,,Unload dishrack,951.0,1021.0
P08-20240614-125650,,Wash dishes,1021.0,1094.0
P08-20240614-125650,,Clean counters,1094.0,1136.0
P08-20240614-125650,,Update phone app,1136.0,1150.0
P08-20240614-125650,R04,Flip chicken in oven,1150.0,1179.0
P08-20240614-125650,R04,Add salad dressing to salad,1179.0,1193.0
P08-20240614-125650,,Clean dressing container in sink,1193.0,1209.0
P08-20240614-125650,,Throw out trash and fold kitchen towel,1209.0,end
P08-20240614-132938,R04,Removing baking tray from oven,0.0,19.0
P08-20240614-132938,R04,"Flip chicken, check chicken is done and serve",19.0,71.0
P08-20240614-132938,,Remove tinfoil and throw in trash,71.0,83.0
P08-20240614-132938,,Turn off oven,83.0,88.0
P08-20240614-132938,,,88.0,106.0
P08-20240614-132938,R04,Cut chicken to check if cooked,106.0,122.0
P08-20240614-132938,,Clean cooking utensils,122.0,146.0
P08-20240614-132938,,Tidy up,146.0,end
P08-20240614-184945,R05,"Get food from fridge, prepare baking tray and preheat oven",0.0,94.0
P08-20240614-184945,R05,Put skewers on baking tray and place in oven,94.0,137.0
P08-20240614-184945,R05,"Get airfryer from kitchen cupboard, weight and record food",137.0,260.0
P08-20240614-184945,R05,Put broccoli in air fryer,260.0,270.0
P08-20240614-184945,,Return remaining broccoli in freezer,270.0,280.0
P08-20240614-184945,,Clean scale,280.0,290.0
P08-20240614-184945,R05,Measure and record salad mix in phone app,290.0,401.0
P08-20240614-184945,R05,Pour salad mix into serving bowl,401.0,415.0
P08-20240614-184945,,Tidy up,415.0,436.0
P08-20240614-184945,,Clean up,436.0,462.0
P08-20240614-184945,R05,Season broccoli and continue cooking in airfryer,462.0,533.0
P08-20240614-184945,R05,Wipe skewers with sauce and put back in oven,533.0,576.0
P08-20240614-184945,R05,Shake broccoli and continue cooking in airfryer,576.0,586.0
P08-20240614-184945,,Wash dishes,586.0,626.0
P08-20240614-184945,,Unload dishrack,626.0,642.0
P08-20240614-184945,R05,Check on broccoli cooking in airfryer,642.0,664.0
P08-20240614-184945,,Clean kitchen counter,664.0,681.0
P08-20240614-184945,R05,Wait for salmon skewers to cook,681.0,722.0
P08-20240614-184945,R05,Season broccoli in airfryer,722.0,755.0
P08-20240614-184945,,Wash spoon in sink,755.0,767.0
P08-20240614-184945,R05,Check on salmon skewers and continue cooking it in oven,767.0,814.0
P08-20240614-184945,R05,Remove broccoli from airfryer and serve,814.0,827.0
P08-20240614-184945,,Clean airfryer in sink,827.0,890.0
P08-20240614-184945,R05,Check if salmon skewers were cooked and serve,890.0,937.0
P08-20240614-184945,R05,Turn off oven,937.0,950.0
P08-20240614-184945,,Tidy up,950.0,end
P08-20240617-130401,R06,Clean kitchen space,0.0,46.0
P08-20240617-130401,R06,Prepare ingredients,46.0,86.0
P08-20240617-130401,R06,Boil water and add salt,86.0,118.0
P08-20240617-130401,R06,Weigh pasta,118.0,206.0
P08-20240617-130401,R06,Chop vegetables for salad,206.0,311.0
P08-20240617-130401,R06,Return pasta to cupboard,311.0,316.0
P08-20240617-130401,R06,Continue chopping vegetables for salad,316.0,464.0
P08-20240617-130401,R06,Check boiling water,464.0,472.0
P08-20240617-130401,,Throw out food scraps,472.0,490.0
P08-20240617-130401,R06,Continue chopping vegetables for salad,490.0,568.0
P08-20240617-130401,R06,Add pasta to boiling water,568.0,575.0
P08-20240617-130401,R06,Continue chopping vegetables for salad,575.0,615.0
P08-20240617-130401,R06,Get cans from kitchen cupboard,615.0,634.0
P08-20240617-130401,R06,Continue chopping vegetables for salad,634.0,795.0
P08-20240617-130401,,Throw out food scraps,795.0,809.0
P08-20240617-130401,R06,Continue chopping vegetables for salad,809.0,1088.0
P08-20240617-130401,R06,Prepare canned food for salad,1088.0,1501.0
P08-20240617-130401,,Clean up and wash dishes,1501.0,1778.0
P08-20240617-130401,R06,Season salad and mix,1778.0,1930.0
P08-20240617-130401,,Clean up and wash dishes,1930.0,end
P08-20240617-184909,R07,Preheat oven,0.0,44.0
P08-20240617-184909,R07,Prepare fishcakes and remaining ingredients and put in oven,44.0,197.0
P08-20240617-184909,R07,"Get airfryer, prepare vegetables and put some in airfryer",197.0,397.0
P08-20240617-184909,R07,Boil kettle,397.0,436.0
P08-20240617-184909,R07,Continue preparing vegetables,436.0,533.0
P08-20240617-184909,R07,Add couscous and boiling water to pot,533.0,593.0
P08-20240617-184909,R07,Continue preparing vegetables,593.0,750.0
P08-20240617-184909,R07,Check fishcakes in oven,750.0,773.0
P08-20240617-184909,R07,Continue preparing vegetables,773.0,788.0
P08-20240617-184909,R07,Heat pan,788.0,822.0
P08-20240617-184909,R07,Clear space,822.0,850.0
P08-20240617-184909,R07,Add vegetables to pan,850.0,871.0
P08-20240617-184909,,Clean up,871.0,871.0
P08-20240617-184909,R07,Stir vegetables in pan,871.0,955.0
P08-20240617-184909,R07,Remove broccoli from air fryer and cut,955.0,1033.0
